patient_question,cleaned_text,keywords,distance_to_centroid
 Nobody likes me because I'm not interesting.,nobody like interesting,"['like interesting', 'interesting', 'like']",0.24738736
 I can't try new things because I'll just mess them up.,try new thing mess,"['thing mess', 'try new', 'mess', 'new thing', 'try']",0.2829681
 I didn't get the job so I must be incompetent.,get job must incompetent,"['job incompetent', 'incompetent', 'job']",0.2958491
 I'm always unlucky. Good things only happen to other people.,always unlucky good thing happen people,"['unlucky good', 'unlucky', 'happen people', 'thing happen', 'good thing']",0.35971317
 Everyone thinks I'm stupid because I made a mistake in my presentation.,everyone think stupid made mistake presentation,"['mistake presentation', 'stupid mistake', 'presentation', 'think stupid', 'stupid']",0.386791
 I'll never be successful because I failed my math test.,never successful failed math test,"['failed math', 'math test', 'successful failed', 'failed', 'test']",0.25902042
 I didn't get a reply to my email they must hate me.,get reply email must hate,"['email hate', 'reply email', 'email', 'hate', 'reply']",0.31142688
 My dog doesn't listen to me even he thinks I'm useless.,dog listen even think useless,"['dog listen', 'think useless', 'listen think', 'useless', 'listen']",0.33365372
 I can't do anything right I'm such a disappointment.,anything right disappointment,"['right disappointment', 'disappointment', 'right']",0.35967886
 I made a mistake this always happens because I am a disaster.,made mistake always happens disaster,"['mistake happens', 'happens disaster', 'disaster', 'mistake', 'happens']",0.42981017
 I forgot my friend's birthday I'm such an awful friend.,forgot friend birthday awful friend,"['friend birthday', 'awful friend', 'forgot friend', 'birthday awful', 'birthday']",0.34351343
 Everyone else is better than me at everything.,everyone else better everything,['better'],0.2967232
 I gained weight this means I have no self-control.,gained weight mean self control,"['gained weight', 'self control', 'weight mean', 'weight', 'mean self']",0.24259435
 I didn't finish my work on time I am definitely getting fired.,finish work time definitely getting fired,"['getting fired', 'finish work', 'fired', 'work time', 'work']",0.3248871
 I'm not as outgoing as my brother I'm a boring person.,outgoing brother boring person,"['outgoing brother', 'brother boring', 'boring person', 'boring', 'outgoing']",0.39963275
 My teacher didn't praise my essay it must be terrible.,teacher praise essay must terrible,"['praise essay', 'teacher praise', 'essay terrible', 'essay', 'praise']",0.3297745
 I'm going to fail my exam I always do under pressure.,going fail exam always pressure,"['exam pressure', 'fail exam', 'going fail', 'fail', 'exam']",0.30171224
 I'm always the last one to finish I must be slow.,always last one finish must slow,"['finish slow', 'finish', 'slow']",0.29187256
 I said something silly in the meeting now everyone thinks I'm an idiot.,said something silly meeting everyone think idiot,"['silly meeting', 'think idiot', 'meeting think', 'said silly', 'idiot']",0.39422113
 I got a B on my paper I'm not smart enough for this class.,got paper smart enough class,"['paper smart', 'got paper', 'paper', 'smart class', 'smart']",0.35649437
 I can't ask for help they'll think I'm incompetent.,ask help think incompetent,"['think incompetent', 'incompetent', 'ask help', 'help think', 'think']",0.42140126
 My house isn't as clean as my neighbor's I must be lazy.,house clean neighbor must lazy,"['clean neighbor', 'neighbor lazy', 'house clean', 'neighbor', 'lazy']",0.2967645
 My friend scored higher than me in the test I must be less intelligent.,friend scored higher test must less intelligent,"['test intelligent', 'higher test', 'friend scored', 'scored higher', 'intelligent']",0.4132809
 My date didn't go well I will end up alone.,date well end alone,"['date end', 'date', 'end']",0.36433208
 I failed my driving test I'm not capable of anything.,failed driving test capable anything,"['driving test', 'failed driving', 'test capable', 'test', 'failed']",0.21607812
 My boss criticized my report she thinks I'm not competent.,bos criticized report think competent,"['bos criticized', 'criticized report', 'criticized', 'think competent', 'report think']",0.34911522
 My colleague got the project I wanted they think I'm not good enough.,colleague got project wanted think good enough,"['colleague got', 'colleague', 'think good', 'project wanted', 'wanted think']",0.4318944
 My girlfriend broke up with me nobody can love me.,girlfriend broke nobody love,"['girlfriend broke', 'broke love', 'girlfriend', 'broke', 'love']",0.33536336
 My project didn't turn out as planned everything I do is a failure.,project turn planned everything failure,"['project turn', 'planned failure', 'turn planned', 'failure', 'turn']",0.32717508
 I'm not as stylish as my friends I have no taste.,stylish friend taste,"['stylish friend', 'friend taste', 'stylish', 'taste', 'friend']",0.32736644
 I got lost on the way I have a terrible sense of direction.,got lost way terrible sense direction,"['sense direction', 'lost way', 'direction', 'terrible sense', 'got lost']",0.3553779
 My boss always assigns me the difficult tasks he must be punishing me.,bos always assigns difficult task must punishing,"['task punishing', 'bos assigns', 'assigns difficult', 'punishing', 'difficult task']",0.32062644
 I failed my driving test I'm useless at everything.,failed driving test useless everything,"['failed driving', 'test useless', 'driving test', 'useless', 'test']",0.30301243
 I forgot to pay the bill I'm so irresponsible.,forgot pay bill irresponsible,"['forgot pay', 'pay irresponsible', 'irresponsible', 'pay', 'forgot']",0.1934026
 I gained a few pounds I have no self-discipline.,gained pound self discipline,"['pound self', 'self discipline', 'gained pound', 'discipline', 'pound']",0.3195638
 I didn't get the scholarship I'm not smart enough.,get scholarship smart enough,"['scholarship smart', 'scholarship', 'smart']",0.2801666
 I missed the deadline my boss will surely fire me.,missed deadline bos surely fire,"['deadline bos', 'missed deadline', 'deadline', 'bos surely', 'bos']",0.23486035
 I'm not as rich as my peers I'm unsuccessful.,rich peer unsuccessful,"['peer unsuccessful', 'rich peer', 'rich', 'peer', 'unsuccessful']",0.42726788
 I couldn't solve the problem I'm not clever enough.,solve problem clever enough,"['solve problem', 'problem clever', 'solve', 'problem', 'clever']",0.3248408
 I don't have a big house I'm a loser.,big house loser,"['house loser', 'big house', 'loser', 'house', 'big']",0.23439646
 I didn't get the lead role I'm not talented enough.,get lead role talented enough,"['lead role', 'role talented', 'lead', 'role', 'talented']",0.2837185
 I was late for the meeting everyone thinks I'm unreliable.,late meeting everyone think unreliable,"['late meeting', 'think unreliable', 'meeting think', 'unreliable', 'meeting']",0.46642703
 My partner didn't compliment my outfit they must think I look terrible.,partner compliment outfit must think look terrible,"['compliment outfit', 'partner compliment', 'outfit think', 'compliment', 'outfit']",0.30381677
 My kids don't listen to me I must be a bad parent.,kid listen must bad parent,"['kid listen', 'bad parent', 'listen bad', 'parent', 'listen']",0.44374126
 I didn't make the team I'm a terrible athlete.,make team terrible athlete,"['terrible athlete', 'team terrible', 'athlete', 'make team', 'team']",0.22506602
 I lost my job I'll never find another one.,lost job never find another one,"['lost job', 'lost', 'job']",0.3655728
 My cat scratched me even my pet hates me.,cat scratched even pet hate,"['cat scratched', 'scratched pet', 'pet hate', 'scratched', 'cat']",0.22998443
 My project failed I'm incapable of success.,project failed incapable success,"['project failed', 'failed incapable', 'failed', 'incapable success', 'success']",0.2918422
 My date didn't go well I'm not attractive.,date well attractive,"['date attractive', 'attractive', 'date']",0.28415036
 I wasn't thanked for my contribution it must have been inadequate.,thanked contribution must inadequate,"['contribution inadequate', 'thanked contribution', 'contribution', 'inadequate', 'thanked']",0.34451842
 I forgot my lines in the play I'm a terrible actor.,forgot line play terrible actor,"['terrible actor', 'forgot line', 'line play', 'actor', 'line']",0.26674303
 I spilled my coffee I'm so clumsy.,spilled coffee clumsy,"['spilled coffee', 'coffee clumsy', 'spilled', 'clumsy', 'coffee']",0.17775683
 I didn't pass my exams my future is ruined.,pas exam future ruined,"['pas exam', 'exam future', 'future ruined', 'pas', 'exam']",0.2900384
 I missed my bus I'm always unlucky.,missed bus always unlucky,"['bus unlucky', 'missed bus', 'unlucky', 'bus', 'missed']",0.28594893
 My partner didn't text me back immediately they must be losing interest.,partner text back immediately must losing interest,"['partner text', 'text immediately', 'partner', 'text', 'immediately losing']",0.34624404
 I forgot my friend's name I'm such a terrible person.,forgot friend name terrible person,"['friend terrible', 'forgot friend', 'terrible person', 'friend', 'forgot']",0.4259351
 I can't sing as well as my sister I'm talentless.,sing well sister talentless,"['sister talentless', 'sing sister', 'talentless', 'sing', 'sister']",0.25415993
 My joke didn't make anyone laugh I'm not funny.,joke make anyone laugh funny,"['make laugh', 'joke make', 'laugh funny', 'joke', 'laugh']",0.28874367
 My roommate didn't clean up they must think I'm their maid.,roommate clean must think maid,"['roommate clean', 'think maid', 'maid', 'roommate', 'clean think']",0.34507945
 I didn't complete my to-do list I'm so unproductive.,complete list unproductive,"['list unproductive', 'complete list', 'unproductive', 'list', 'complete']",0.28708896
 I missed a workout I'm lazy.,missed workout lazy,"['missed workout', 'workout lazy', 'workout', 'lazy', 'missed']",0.24203163
 I didn't understand the lecture I'm not smart enough for this course.,understand lecture smart enough course,"['lecture smart', 'understand lecture', 'lecture', 'smart course', 'smart']",0.252917
 I lost the game I'm a poor player.,lost game poor player,"['poor player', 'game poor', 'lost game', 'poor', 'player']",0.2941686
 My teacher marked me down they must dislike me.,teacher marked must dislike,"['marked dislike', 'teacher marked', 'teacher', 'dislike', 'marked']",0.35736272
 I didn't make the sale I'm not cut out for this job.,make sale cut job,"['sale cut', 'cut job', 'make sale', 'cut', 'sale']",0.113998
 My friends are traveling the world I'm a failure for not doing the same.,friend traveling world failure,"['friend traveling', 'traveling world', 'traveling', 'world failure', 'failure']",0.41812086
 I lost my keys I'm so forgetful and disorganized.,lost key forgetful disorganized,"['lost key', 'key forgetful', 'forgetful disorganized', 'key', 'disorganized']",0.20602813
 I got a poor review at work I'm incompetent.,got poor review work incompetent,"['poor review', 'review work', 'work incompetent', 'review', 'incompetent']",0.25123698
 My friend didn't laugh at my joke they must find me dull.,friend laugh joke must find dull,"['joke dull', 'friend laugh', 'laugh joke', 'dull', 'laugh']",0.34486938
 My children didn't hug me they must not love me.,child hug must love,"['child hug', 'hug love', 'hug', 'child', 'love']",0.3870859
 My plant died I can't do anything right.,plant died anything right,"['plant died', 'died right', 'plant', 'died', 'right']",0.21530017
 I didn't meet my monthly goal I'm a failure.,meet monthly goal failure,"['monthly goal', 'goal failure', 'meet monthly', 'failure', 'monthly']",0.2898211
 My dog wouldn't come when I called even he doesn't respect me.,dog come called even respect,"['called respect', 'dog come', 'respect', 'dog', 'come called']",0.24879067
 I'm not married yet I'll end up alone.,married yet end alone,"['married end', 'married', 'end']",0.3838334
 I didn't finish the book I'm lazy.,finish book lazy,"['book lazy', 'finish book', 'lazy', 'book', 'finish']",0.30601388
 My girlfriend broke up with me I must be unlovable.,girlfriend broke must unlovable,"['broke unlovable', 'girlfriend broke', 'unlovable', 'broke', 'girlfriend']",0.4133237
 I made a mistake in my calculations I'm bad at my job.,made mistake calculation bad job,"['mistake calculation', 'calculation bad', 'calculation', 'mistake', 'bad job']",0.18698129
 I didn't get the recognition I deserved my efforts are pointless.,get recognition deserved effort pointless,"['recognition deserved', 'effort pointless', 'deserved effort', 'deserved', 'effort']",0.34828472
 My date didn't call me back they must think I'm boring.,date call back must think boring,"['think boring', 'date think', 'boring', 'date', 'think']",0.37136823
 I didn't get a tip my service must have been terrible.,get tip service must terrible,"['tip service', 'tip', 'service terrible', 'service', 'terrible']",0.2867316
 I couldn't finish the race I'm unfit.,finish race unfit,"['race unfit', 'finish race', 'race', 'unfit', 'finish']",0.1776133
 I didn't receive any compliments I must not have done a good job.,receive compliment must done good job,"['receive compliment', 'compliment good', 'compliment', 'receive', 'job']",0.39077216
 I missed a payment I'm irresponsible.,missed payment irresponsible,"['missed payment', 'payment irresponsible', 'irresponsible', 'payment', 'missed']",0.18022993
 My team didn't win I must have let them down.,team win must let,"['win let', 'team win', 'team', 'let', 'win']",0.30361533
 I didn't get a reply to my message I must have said something wrong.,get reply message must said something wrong,"['reply message', 'message said', 'message', 'reply', 'said wrong']",0.3070994
 I'm not as successful as my siblings I'm a disappointment to my family.,successful sibling disappointment family,"['sibling disappointment', 'disappointment family', 'successful sibling', 'sibling', 'family']",0.40074962
 I didn't finish my workout I'm weak.,finish workout weak,"['workout weak', 'finish workout', 'workout', 'weak', 'finish']",0.21109357
 My co-worker didn't help me they must think I'm incompetent.,worker help must think incompetent,"['worker help', 'think incompetent', 'incompetent', 'worker', 'help think']",0.3614054
 I forgot to send a birthday card I'm a terrible friend.,forgot send birthday card terrible friend,"['birthday card', 'send birthday', 'birthday', 'card terrible', 'terrible friend']",0.2962614
 My project was not selected my work is subpar.,project selected work subpar,"['project selected', 'work subpar', 'selected work', 'subpar', 'work']",0.08320303
