Main_Cluster_Label,Subcluster_Label,Count
Boring Person Earn Peer,anxiety,204
Boring Person Earn Peer,boyfriend,68
Boring Person Earn Peer,can鈥檛,67
Boring Person Earn Peer,didn,108
Boring Person Earn Peer,doesn鈥檛,61
Boring Person Earn Peer,don,56
Boring Person Earn Peer,don鈥檛,14
Boring Person Earn Peer,don鈥檛 know,18
Boring Person Earn Peer,family,100
Boring Person Earn Peer,feel,69
Boring Person Earn Peer,friend didn,136
Boring Person Earn Peer,friends,82
Boring Person Earn Peer,girlfriend,62
Boring Person Earn Peer,i鈥檓,57
Boring Person Earn Peer,i鈥檓 afraid,385
Boring Person Earn Peer,i鈥檝e,70
Boring Person Earn Peer,relationship,213
Boring Person Earn Peer,smart,84
Boring Person Earn Peer,successful,106
Boring Person Earn Peer,therapist,202
Friend Culinary Wedding Dislike,artistic,3
Friend Culinary Wedding Dislike,bake,6
Friend Culinary Wedding Dislike,baker,2
Friend Culinary Wedding Dislike,colleagues didn,8
Friend Culinary Wedding Dislike,cook,15
Friend Culinary Wedding Dislike,didn invite,1
Friend Culinary Wedding Dislike,friend artistic,17
Friend Culinary Wedding Dislike,friends,1
Friend Culinary Wedding Dislike,friends didn,9
Friend Culinary Wedding Dislike,good cook,2
Friend Culinary Wedding Dislike,invite party,5
Friend Culinary Wedding Dislike,lunch,7
Friend Culinary Wedding Dislike,meeting,5
Friend Culinary Wedding Dislike,paint,9
Friend Culinary Wedding Dislike,party,5
Friend Culinary Wedding Dislike,value friendship,3
Friend Culinary Wedding Dislike,wasn invited,12
Friend Culinary Wedding Dislike,wedding,12
Leader Project Idea Rejected,competent,3
Leader Project Idea Rejected,idea,2
Leader Project Idea Rejected,ideas,4
Leader Project Idea Rejected,incapable,7
Leader Project Idea Rejected,leader,3
Leader Project Idea Rejected,project didn,21
Leader Project Idea Rejected,project think,1
Leader Project Idea Rejected,promoted,6
Leader Project Idea Rejected,promotion,6
Leader Project Idea Rejected,proposal,7
Leader Project Idea Rejected,raise,4
Leader Project Idea Rejected,science fair,4
Leader Project Idea Rejected,study,2
Leader Project Idea Rejected,study group,6
Leader Project Idea Rejected,teacher didn,2
Leader Project Idea Rejected,think dumb,8
Leader Project Idea Rejected,think incapable,1
Leader Project Idea Rejected,wasn chosen,5
Leader Project Idea Rejected,work,1
Peer Unfit People Boring,abused,240
Peer Unfit People Boring,anxiety,114
Peer Unfit People Boring,bipolar,97
Peer Unfit People Boring,depressed,183
Peer Unfit People Boring,depression,109
Peer Unfit People Boring,depression anxiety,397
Peer Unfit People Boring,don鈥檛 feel,400
Peer Unfit People Boring,hallucinations,114
Peer Unfit People Boring,i鈥檓,64
Peer Unfit People Boring,i鈥檓 scared,504
Peer Unfit People Boring,i鈥檝e,104
Peer Unfit People Boring,ocd,75
Peer Unfit People Boring,panic attacks,53
Peer Unfit People Boring,parents,189
Peer Unfit People Boring,relationship,376
Peer Unfit People Boring,schizophrenia,86
Peer Unfit People Boring,schizophrenic,102
Peer Unfit People Boring,social anxiety,214
Peer Unfit People Boring,therapist,64
Peer Unfit People Boring,therapy,195
